step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
156000,4.48620e-01,2.05893e-01,2.06195e-01,6.14482e-03,8.66180e-03,7.92493e-02,875
157000,4.42253e-01,1.96402e-01,2.24080e-01,5.99161e-03,7.11755e-03,6.95016e-02,880
158000,4.50042e-01,1.88941e-01,2.78643e-01,6.07245e-03,9.11657e-03,8.56837e-02,886
159000,4.42299e-01,1.79511e-01,2.26884e-01,5.74264e-03,6.60644e-03,7.15965e-02,891
160000,4.46391e-01,1.90573e-01,2.40092e-01,5.22770e-03,7.79487e-03,7.35981e-02,897
161000,4.54773e-01,1.82724e-01,2.63264e-01,5.78401e-03,9.92356e-03,9.03894e-02,902
162000,4.42413e-01,1.98910e-01,2.30402e-01,6.21381e-03,7.08178e-03,7.71065e-02,907
163000,4.41308e-01,2.06953e-01,2.35375e-01,5.51955e-03,6.83580e-03,7.30335e-02,913
164000,4.56089e-01,2.12923e-01,2.41288e-01,6.23734e-03,9.85467e-03,9.00097e-02,918
165000,4.45099e-01,2.05139e-01,2.12478e-01,5.94526e-03,6.61372e-03,6.83690e-02,924
166000,4.37302e-01,1.89422e-01,2.31476e-01,5.73878e-03,6.06691e-03,6.84751e-02,929
167000,4.40905e-01,1.80133e-01,2.28807e-01,5.99229e-03,6.00759e-03,6.90939e-02,935
168000,4.49392e-01,1.89159e-01,2.53686e-01,5.80918e-03,9.16133e-03,8.28896e-02,940
169000,4.56061e-01,2.10355e-01,2.41887e-01,6.23903e-03,1.01555e-02,9.00715e-02,946
170000,4.43970e-01,1.97103e-01,2.28253e-01,5.83694e-03,7.22247e-03,7.62299e-02,951
171000,4.44006e-01,2.06063e-01,2.43322e-01,6.11918e-03,7.42436e-03,7.57762e-02,956
172000,4.51566e-01,1.99174e-01,2.41017e-01,6.26297e-03,9.33410e-03,8.88509e-02,962
173000,4.42196e-01,2.05512e-01,2.28626e-01,5.77336e-03,6.52022e-03,7.15439e-02,967
174000,4.52645e-01,2.01181e-01,2.40544e-01,5.78605e-03,9.40781e-03,8.04937e-02,973
175000,4.37279e-01,1.97384e-01,2.07951e-01,6.18916e-03,5.55565e-03,6.74715e-02,978
176000,4.46131e-01,2.08225e-01,2.25306e-01,5.32780e-03,7.72202e-03,7.34238e-02,984
177000,4.41285e-01,1.90727e-01,2.18325e-01,5.45195e-03,6.52209e-03,6.95374e-02,989
178000,4.42475e-01,1.91428e-01,2.35833e-01,5.57088e-03,6.68719e-03,7.09079e-02,995
179000,4.48585e-01,2.07216e-01,2.15464e-01,5.25823e-03,7.91503e-03,7.26155e-02,1000
180000,4.44441e-01,2.05849e-01,2.13865e-01,5.86824e-03,6.25292e-03,6.71505e-02,1005
181000,4.50706e-01,2.06461e-01,2.55153e-01,5.83494e-03,8.74639e-03,8.42436e-02,1011
182000,4.42007e-01,1.96968e-01,2.23899e-01,6.08396e-03,6.50432e-03,7.25185e-02,1016
183000,4.42539e-01,2.06729e-01,2.40137e-01,5.02397e-03,7.01348e-03,7.22562e-02,1022
184000,4.51914e-01,2.04065e-01,2.30138e-01,5.93980e-03,9.09385e-03,8.09402e-02,1027
185000,4.46237e-01,1.98835e-01,2.25343e-01,5.89208e-03,8.18369e-03,7.79977e-02,1033
186000,4.46482e-01,1.89600e-01,2.49916e-01,6.11771e-03,8.49474e-03,8.06615e-02,1038
187000,4.51119e-01,2.08203e-01,2.52521e-01,5.76045e-03,9.42750e-03,8.47452e-02,1043
188000,4.43297e-01,1.70409e-01,2.30879e-01,6.06665e-03,7.72892e-03,7.77871e-02,1049
189000,4.50512e-01,1.95493e-01,2.47450e-01,5.42641e-03,8.72246e-03,7.89206e-02,1054
190000,4.47690e-01,2.03233e-01,2.56096e-01,6.17282e-03,8.55555e-03,8.22314e-02,1060
191000,4.45861e-01,2.00281e-01,2.53636e-01,6.00026e-03,8.25592e-03,7.77119e-02,1065
192000,4.48688e-01,1.97745e-01,2.07473e-01,5.33412e-03,7.73456e-03,7.52529e-02,1071
193000,4.44119e-01,1.94301e-01,2.18554e-01,5.68948e-03,6.79518e-03,7.27308e-02,1076
194000,4.42778e-01,2.01261e-01,2.32692e-01,6.04210e-03,7.47367e-03,7.42467e-02,1081
195000,4.41496e-01,2.12899e-01,2.00063e-01,6.03274e-03,5.09531e-03,6.41177e-02,1087
196000,4.42727e-01,1.95398e-01,2.27756e-01,5.95314e-03,6.52876e-03,7.15691e-02,1092
197000,4.41991e-01,1.84711e-01,2.22348e-01,5.57568e-03,6.23531e-03,6.97352e-02,1098
198000,4.41196e-01,2.11784e-01,2.09354e-01,6.30594e-03,5.77739e-03,6.94698e-02,1103
199000,4.42551e-01,2.03731e-01,2.36537e-01,6.09465e-03,7.35663e-03,7.67553e-02,1109
